"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","48 Abbotsford St","house",3,1447500.0,"2016-08-20","passed in at auction","Nelson Alexander","http://www.realestateview.com.au/real-estate/48-abbotsford-street-abbotsford-vic/property-details-buy-residential-10389028/"
"Abbotsford","116/ 56 Nicholson St","apartment",1,457000.0,"2016-08-20","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/116-56-nicholson-street-abbotsford-vic/property-details-buy-residential-10385841/"
"Abbotsford","159 Park St","house",2,1135000.0,"2016-08-20","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/159-park-street-abbotsford-vic/property-details-buy-residential-10389017/"
"Abbotsford","5/ 20 Abbotsford St","apartment",1,426000.0,"2016-08-16","sold before auction","Greg Hocking Holdsworth",""
"Airport West","110 Halsey Rd","house",3,805000.0,"2016-08-20","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/110-halsey-road-airport-west-vic/property-details-buy-residential-10391140/"
"Airport West","2/ 13 North St","unit",2,510000.0,"2016-08-20","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/2-13-north-street-airport-west-vic/property-details-buy-residential-10274647/"
"Airport West","105A Victory Rd","unit",3,612000.0,"2016-08-20","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/105a-victory-road-airport-west-vic/property-details-buy-residential-10385077/"
"Airport West","3/ 9 West Ct","townhouse",2,460000.0,"2016-08-13","private sale","Barry Plant",""
"Albanvale","9 Albanvale Dr","house",3,482000.0,"2016-08-04","private sale","Ray White St Albans","http://www.realestateview.com.au/real-estate/9-albanvale-drive-albanvale-vic/property-details-sold-residential-10319374/"
"Albert Park","17 Little Page St","townhouse",2,910000.0,"2016-08-20","passed in at auction","Cayzer","http://www.realestateview.com.au/real-estate/17-little-page-street-albert-park-vic/property-details-buy-residential-10384461/"
"Albert Park","38 Little Page St","house",3,1205000.0,"2016-08-20","auction sale","Greg Hocking Holdsworth",""
"Albion","10/ 117 Anderson Rd","apartment",1,185000.0,"2016-08-20","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/10-117-anderson-road-albion-vic/property-details-buy-residential-10392189/"
"Albion","5 Hamel St","house",3,515000.0,"2016-08-20","auction sale","Melbourne Estate Agents",""
"Alfredton","Lot 331 Arch Dr","land",0,325000.0,"2016-08-16","private sale","hockingstuart","http://www.realestateview.com.au/real-estate/lot-331-arch-drive-alfredton-vic/property-details-sold-residential-10214108/"
"Alfredton","3 Townsend Ct","house",4,354000.0,"2016-07-29","private sale","Ray White Ballarat","http://www.realestateview.com.au/real-estate/3-townsend-court-alfredton-vic/property-details-sold-residential-10309427/"
"Alfredton","11 Perendale St","house",4,520000.0,"2016-07-27","private sale","Ray White Ballarat","http://www.realestateview.com.au/real-estate/11-perendale-street-alfredton-vic/property-details-sold-residential-10373172/"
