"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","4/659 Victoria St","apartment",2,753000.0,"2018-02-15","private sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/4-659-victoria-street-abbotsford-vic/property-details-sold-residential-11417654/"
"Abbotsford","204/38 Yarra St","apartment",1,450000.0,"2018-02-14","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/204-38-yarra-street-abbotsford-vic/property-details-buy-residential-11614925/"
"Abbotsford","406/1 Acacia Pl","apartment",2,,"2018-03-03","passed in vendor bid","hockingstuart","https://www.realestateview.com.au/real-estate/406-1-acacia-place-abbotsford-vic/property-details-buy-residential-11638618/"
"Aberfeldie","5 Antares Ct","house",4,,"2018-03-03","auction sale","Weda Partners",""
"Aberfeldie","22 Beaver St","house",4,,"2018-03-03","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/22-beaver-street-aberfeldie-vic/property-details-buy-residential-11482802/"
"Airport West","2/127 Mcnamara Av","house",3,551000.0,"2018-03-03","passed in at auction","Barry Plant","https://www.realestateview.com.au/real-estate/2-127-mcnamara-avenue-airport-west-vic/property-details-buy-residential-11635355/"
"Airport West","8 Mcnamara Av","house",3,975000.0,"2018-03-03","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/8-mcnamara-avenue-airport-west-vic/property-details-buy-residential-11646472/"
"Airport West","38A North St","townhouse",3,891000.0,"2018-03-03","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/38a-north-street-airport-west-vic/property-details-buy-residential-11639033/"
"Airport West","25A Glenys Av","land",0,400000.0,"2018-03-02","sold before auction","Raine & Horne Ascot Vale","https://www.realestateview.com.au/real-estate/25a-glenys-avenue-airport-west-vic/property-details-buy-residential-11642576/"
"Airport West","11 Harrington St","house",6,900000.0,"2018-02-28","private sale","Barry Plant","https://www.realestateview.com.au/real-estate/11-harrington-road-airport-west-vic/property-details-buy-residential-11340293/"
"Airport West","2/29 Walters Av","unit",2,700000.0,"2018-02-27","sold before auction","Barry Plant","https://www.realestateview.com.au/real-estate/2-29-walters-avenue-airport-west-vic/property-details-buy-residential-11629649/"
"Airport West","5 Overs St","house",4,895000.0,"2018-02-23","private sale","Barry Plant","https://www.realestateview.com.au/real-estate/5-overs-street-airport-west-vic/property-details-sold-residential-11436727/"
"Albanvale","9 Fernhill Ct","house",3,,"2018-03-03","passed in at auction","YPA Estate Agents",""
"Albert Park","103 Ashworth St","house",3,1650000.0,"2018-03-03","auction sale","The Agency",""
"Albert Park","199 Bridport St.W","house",3,2070000.0,"2018-03-03","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/199-bridport-street-west-albert-park-vic/property-details-buy-residential-11649106/"
"Albert Park","142 Danks St","house",3,,"2018-03-04","auction sale","Upside Realty",""
"Alfredton","1873 Sturt St","house",4,520000.0,"2018-02-28","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/1873-sturt-street-alfredton-vic/property-details-buy-residential-11636918/"
"Alfredton","34 Longley St","house",3,279500.0,"2018-02-26","private sale","Wilson Estate Agents","https://www.realestateview.com.au/real-estate/34-longley-street-alfredton-vic/property-details-buy-residential-11548462/"
"Alfredton","29 Prince Of Wales Blvd","house",4,1155000.0,"2018-02-26","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/29-prince-of-wales-boulevard-alfredton-vic/property-details-buy-residential-11394888/"
"Alfredton","53 Elaine Av","house",4,584000.0,"2018-02-20","private sale","Buxton","https://www.realestateview.com.au/real-estate/53-elaine-avenue-alfredton-vic/property-details-buy-residential-11670736/"
"Alfredton","17 Willoby Dr","house",3,340000.0,"2018-02-15","private sale","Buxton","https://www.realestateview.com.au/real-estate/17-willoby-drive-alfredton-vic/property-details-buy-residential-11488232/"
"Alfredton","5 Caroline St","house",3,445000.0,"2018-02-14","private sale","Buxton","https://www.realestateview.com.au/real-estate/5-caroline-street-alfredton-vic/property-details-buy-residential-11639367/"
"Alfredton","16 Exmoor Ct","house",3,300000.0,"2018-02-08","private sale","Trevor Petrie RE","https://www.realestateview.com.au/real-estate/16-exmoor-court-alfredton-vic/property-details-buy-residential-11471470/"
"Alfredton","16 Mimosa Av","house",4,,"2018-02-13","private sale","Wilson Estate Agents","https://www.realestateview.com.au/real-estate/16-mimosa-avenue-alfredton-vic/property-details-buy-residential-11652275/"
"Alfredton","133 Aspect Pde","house",4,,"2018-02-05","private sale","Wilson Estate Agents","https://www.realestateview.com.au/real-estate/133-aspect-parade-alfredton-vic/property-details-buy-residential-11624771/"
"Alphington","26 Lucerne Cr","house",4,2420000.0,"2018-03-03","passed in at auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/26-lucerne-crescent-alphington-vic/property-details-buy-residential-11649346/"
"Alphington","510 Heidelberg Rd","house",4,,"2018-03-01","sold before auction","Jellis Craig","https://www.realestateview.com.au/real-estate/510-heidelberg-road-alphington-vic/property-details-sold-residential-11652481/"
"Altona","84 Queen St","house",3,1815000.0,"2018-03-03","auction sale","Williams RE","https://www.realestateview.com.au/real-estate/84-queen-street-altona-vic/property-details-buy-residential-11643559/"
"Altona","11A Wren St","unit",3,,"2018-02-28","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/11a-wren-street-altona-vic/property-details-buy-residential-11674654/"
"Altona Meadows","19 Edwards Dr","house",3,650000.0,"2018-03-03","passed in vendor bid","Sweeney",""
"Altona Meadows","2 Lewin Ct","house",3,600000.0,"2018-03-03","auction sale","Burnham","https://www.realestateview.com.au/real-estate/2-lewin-court-altona-meadows-vic/property-details-buy-residential-11580486/"
"Altona Meadows","12 Kiora St","house",0,539000.0,"2018-02-12","private sale","P Di Natale Werribee",""
"Altona North","36A Ararat St","unit",3,790000.0,"2018-03-03","passed in at auction","Sweeney",""
"Altona North","32 Macdonald Av","house",3,850000.0,"2018-03-03","passed in at auction","Sweeney",""
"Altona North","2/43 Rosella Av","unit",3,720000.0,"2018-02-24","auction sale","Sweeney",""
