"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","Trenerry Cr","apartment",3,1205000.0,"2015-12-02","private sale","Biggin & Scott","http://www.realestateview.com.au/Real-Estate/7-8-trenerry-crescent-abbotsford/Property-Details-sold-residential-9669536.html"
"Abbotsford","Vere St","house",2,850000.0,"2015-11-30","private sale","Biggin & Scott","http://www.realestateview.com.au/Real-Estate/130-vere-street-abbotsford/Property-Details-sold-residential-9760788.html"
"Aberfeldie","16 Caroline St","house",4,2200000.0,"2015-12-12","auction sale","Rendina",""
"Aberfeldie","59 Clifton St","house",4,1500000.0,"2015-12-12","passed in vendor bid","Frank Dowling Essendon",""
"Aberfeldie","Fawkner St","house",3,999000.0,"2015-12-01","private sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/86-fawkner-street-aberfeldie/Property-Details-sold-residential-9680018.html"
"Airport West","49 Bedford St","house",3,790000.0,"2015-12-12","auction sale","Nelson Alexander",""
"Airport West","1A Overs St","house",3,520000.0,"2015-12-12","passed in at auction","Nelson Alexander",""
"Airport West","56 Walters Av","townhouse",2,500000.0,"2015-12-12","passed in vendor bid","Nelson Alexander",""
"Airport West","Kendale St","townhouse",2,425000.0,"2015-12-02","private sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/3-kendale-street-airport-west/Property-Details-sold-residential-9734980.html"
"Airport West","2/ 67 Roberts Rd","unit",3,"","2015-12-12","auction sale","Barry Plant",""
"Albanvale","61 Evergreen Av","house",3,342500.0,"2015-12-12","auction sale","Ray White St Albans",""
"Alfredton","Carbine Dr","house",3,324000.0,"2015-12-10","private sale","Trevor Petrie RE","http://www.realestateview.com.au/Real-Estate/11-carbine-drive-alfredton/Property-Details-sold-residential-9713984.html"
"Alfredton","Sparkling Cl","land",0,300000.0,"2015-12-10","private sale","hockingstuart","http://www.realestateview.com.au/Real-Estate/lot-376-sparkling-close-alfredton/Property-Details-sold-residential-9535026.html"
"Alfredton","Omeo Dr","house",2,270000.0,"2015-11-19","private sale","Trevor Petrie RE","http://www.realestateview.com.au/Real-Estate/5-omeo-drive-alfredton/Property-Details-sold-residential-9734219.html"
"Alfredton","Aspect Pde","land",0,"","2015-12-10","private sale","hockingstuart",""
"Alphington","1 Killop St","house",3,1010000.0,"2015-12-12","auction sale","Jellis Craig",""
"Altona","9 Mcintyre Dr","house",3,738000.0,"2015-12-12","auction sale","hockingstuart",""
"Altona Meadows","16 Macneil Dr","house",4,672000.0,"2015-12-12","auction sale","Sweeney",""
"Altona Meadows","80 Grace St.S","house",3,400000.0,"2015-12-11","sold before auction","Sweeney",""
"Altona Meadows","12 Strezlecki Gr.S","house",3,"","2015-12-12","passed in at auction","hockingstuart",""
"Altona North","3 Marigold Av","house",3,790000.0,"2015-12-12","auction sale","Biggin & Scott",""
"Altona North","23 John St","house",3,645000.0,"2015-12-01","sold before auction","Sweeney","http://www.realestateview.com.au/Real-Estate/23-john-street-altona-north/Property-Details-sold-residential-9794500.html"
"Ardeer","44 Maxweld St","house",3,491000.0,"2015-12-12","auction sale","Barry Plant",""
"Armadale","15/ 11 Cheel St","apartment",2,577500.0,"2015-12-12","auction sale","Wilson",""
"Armadale","1/ 8-10 Sutherland Rd","apartment",2,"","2015-12-10","sold before auction","hockingstuart",""
"Armstrong Creek","Barleycorn Bnd","land",0,225000.0,"2015-11-05","private sale","Buxton","http://www.realestateview.com.au/Real-Estate/33-barleycorn-bend-armstrong-creek/Property-Details-sold-residential-8690788.html"
"Ascot","12 Melita Ct","house",4,"","2015-12-07","passed in at auction","Ray White Bendigo",""
"Ascot Vale","93 Ascot Vale Rd","townhouse",3,735000.0,"2015-12-12","passed in vendor bid","Raine & Horne Ascot Vale",""
"Ascot Vale","26 Ayr St","house",6,1400000.0,"2015-12-12","passed in vendor bid","Nelson Alexander",""
"Ascot Vale","26 Myrnong Cr","house",4,1340000.0,"2015-12-12","auction sale","Nelson Alexander",""
"Ascot Vale","27 Roxburgh St","house",4,1550000.0,"2015-12-12","auction sale","Brad Teal",""
"Ascot Vale","22/ 1-3 Sandown Rd","unit",2,410000.0,"2015-12-12","auction sale","Brad Teal",""
"Ascot Vale","1/ 104 The Parade","house",2,783000.0,"2015-12-12","auction sale","Brad Teal",""
"Ascot Vale","20/ 106-116 Union Rd","apartment",2,448000.0,"2015-12-12","auction sale","Nelson Alexander",""
"Ascot Vale","North St","house",3,900000.0,"2015-12-07","private sale","Hodges","http://www.realestateview.com.au/Real-Estate/30-north-street-ascot-vale/Property-Details-sold-residential-9797428.html"
"Ascot Vale","Walter St","house",3,1800000.0,"2015-12-01","private sale","Nelson Alexander",""
"Ascot Vale","214 The Parade","house",3,"","2015-12-12","auction sale","Nelson Alexander",""
"Ascot Vale","2/ 35 Union Rd","townhouse",2,"","2015-12-12","passed in at auction","Barry Plant",""
"Ascot Vale","28 Regent St","house",3,"","2015-12-04","sold before auction","Rendina","http://www.realestateview.com.au/Real-Estate/28-regent-street-ascot-vale/Property-Details-sold-residential-9781153.html"
"Ashburton","2/ 4 Carool Rd","townhouse",4,1400000.0,"2015-12-12","passed in at auction","hockingstuart",""
"Ashburton","5 Donald St","house",4,2453000.0,"2015-12-12","auction sale","Jellis Craig",""
"Ashburton","24 Glen Rd","house",4,1720000.0,"2015-12-12","auction sale","hockingstuart",""
"Ashburton","4 Gona Ct","house",4,1225000.0,"2015-12-08","sold before auction","Noel Jones","http://www.realestateview.com.au/Real-Estate/4-gona-court-ashburton/Property-Details-sold-residential-9785390.html"
"Ashburton","19 Ambon St","house",4,"","2015-12-12","auction sale","Jellis Craig",""
"Ashwood","46 George St","house",5,1210000.0,"2015-12-12","auction sale","Buxton",""
"Ashwood","2/ 10 Leonard St","townhouse",4,710000.0,"2015-12-12","auction sale","Ray White Glen Waverley",""
"Ashwood","37 Montpellier Rd","house",3,1130000.0,"2015-12-12","auction sale","Buxton",""
"Ashwood","10 Station Av","house",3,1090000.0,"2015-12-12","auction sale","Woodards",""
"Aspendale","64 Albany Cr","house",3,750000.0,"2015-12-12","passed in vendor bid","Biggin & Scott",""
"Aspendale","3/ 17-19 Birdwood St","unit",2,440000.0,"2015-12-12","passed in at auction","hockingstuart",""
"Aspendale","12 Roycroft Av","house",5,1750000.0,"2015-12-12","passed in at auction","hockingstuart",""
"Aspendale Gardens","5 Oriflamme Ct","house",3,700000.0,"2015-12-12","auction sale","iSell",""
"Avoca","Astbury St","house",3,235000.0,"2015-12-07","private sale","Ballarat Real Estate Pty Ltd",""
"Avoca","67 Boundary Rd","hobby farm/farmlet 20 ha+",3,"","2015-12-12","passed in at auction","Stockdale & Leggo Ballarat",""
"Avondale Heights","10 Doyle St","house",3,646000.0,"2015-12-12","auction sale","Harcourts Vision",""
