"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","49 Park St","house",2,1315000.0,"2016-11-19","auction sale","Marshall White & Co","http://www.realestateview.com.au/real-estate/49-park-street-abbotsford-vic/property-details-buy-residential-10592444/"
"Abbotsford","65/ 80 Trenerry Cr","apartment",1,480000.0,"2016-11-19","auction sale","Biggin & Scott","http://www.realestateview.com.au/real-estate/65-80-trenerry-crescent-abbotsford-vic/property-details-sold-residential-10600534/"
"Aberfeldie","40 Allan St","house",3,1860000.0,"2016-11-19","auction sale","Rendina",""
"Aberfeldie","14 Knight St","house",3,1195000.0,"2016-11-19","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/14-knight-street-aberfeldie-vic/property-details-buy-residential-10596770/"
"Aberfeldie","2 May St","house",5,1200000.0,"2016-11-19","passed in at auction","Nelson Alexander","http://www.realestateview.com.au/real-estate/2-may-street-aberfeldie-vic/property-details-buy-residential-10599205/"
"Aberfeldie","44 Arthur St","house",4,"","2016-11-19","passed in at auction","Nelson Alexander","http://www.realestateview.com.au/real-estate/44-arthur-street-aberfeldie-vic/property-details-buy-residential-10599316/"
"Airport West","1/ 72-74 Parer Rd","townhouse",2,447000.0,"2016-11-17","private sale","Barry Plant","http://www.realestateview.com.au/real-estate/1-72-74-parer-road-airport-west-vic/property-details-sold-residential-10505940/"
"Airport West","37 North St","townhouse",3,825000.0,"2016-11-10","sold before auction","Barry Plant","http://www.realestateview.com.au/real-estate/37-north-street-airport-west-vic/property-details-buy-residential-10603353/"
"Albert Park","18 Herbert St","house",3,"","2016-11-19","auction sale","Cayzer","http://www.realestateview.com.au/real-estate/18-herbert-street-albert-park-vic/property-details-buy-residential-10597212/"
"Albert Park","50 Herbert St","house",2,"","2016-11-14","private sale","hockingstuart","http://www.realestateview.com.au/real-estate/50-herbert-street-albert-park-vic/property-details-sold-residential-10516406/"
"Albert Park","56 Greig St","house",2,"","2016-11-10","private sale","Greg Hocking Holdsworth",""
"Albion","9/ 4 Forrest St","flat",2,220000.0,"2016-11-14","private sale","Stockdale & Leggo Sunshine",""
"Alfredton","7 Alfredton Dr","house",4,545000.0,"2016-11-17","private sale","hockingstuart","http://www.realestateview.com.au/real-estate/7-alfredton-drive-alfredton-vic/property-details-sold-residential-10585352/"
"Alfredton","22 Regal Dr","house",3,425000.0,"2016-11-14","private sale","hockingstuart","http://www.realestateview.com.au/real-estate/22-regal-drive-alfredton-vic/property-details-sold-residential-10522200/"
"Alfredton","1/ 2B Golf St","house",2,335000.0,"2016-11-01","private sale","Trevor Petrie RE",""
"Alphington","10 Bennett St","house",4,1830000.0,"2016-11-19","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/10-bennett-street-alphington-vic/property-details-buy-residential-10603016/"
"Alphington","38 Bennett St","house",4,2100000.0,"2016-11-19","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/38-bennett-street-alphington-vic/property-details-buy-residential-10603783/"
"Altona","4 Boyd St","house",3,980000.0,"2016-11-19","auction sale","Barlow McEwan Tribe",""
"Altona","5A Emu Av","house",4,1000000.0,"2016-11-19","auction sale","Barlow McEwan Tribe",""
"Altona","3/ 53 Rayner St","villa",2,410000.0,"2016-11-19","auction sale","Biggin & Scott","http://www.realestateview.com.au/real-estate/3-53-rayner-street-altona-vic/property-details-buy-residential-10603300/"
"Altona Meadows","19 Merton St","house",3,425000.0,"2016-11-19","auction sale","Sweeney","http://www.realestateview.com.au/real-estate/19-merton-street-altona-meadows-vic/property-details-buy-residential-10602842/"
"Altona Meadows","3 Shields Ct","house",3,541000.0,"2016-11-19","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/3-shields-court-altona-meadows-vic/property-details-buy-residential-10597323/"
"Altona Meadows","62 Tatman Dr","house",4,680000.0,"2016-11-19","auction sale","Sweeney","http://www.realestateview.com.au/real-estate/62-tatman-drive-altona-meadows-vic/property-details-buy-residential-10602610/"
"Altona North","16 Beevers St","house",3,680000.0,"2016-11-19","auction sale","Sweeney","http://www.realestateview.com.au/real-estate/16-beevers-street-altona-north-vic/property-details-buy-residential-10602609/"
"Altona North","21 Neal Ct","house",3,770000.0,"2016-11-16","sold before auction","hockingstuart","http://www.realestateview.com.au/real-estate/21-neal-court-altona-north-vic/property-details-sold-residential-10601250/"
"Altona North","150A Mcintosh Rd","townhouse",2,510000.0,"2016-11-08","sold before auction","Williams RE","http://www.realestateview.com.au/real-estate/150a-mcintosh-road-altona-north-vic/property-details-sold-residential-10581727/"
"Altona North","4/ 63 Marion St","apartment",1,"","2016-11-19","passed in at auction","hockingstuart","http://www.realestateview.com.au/real-estate/4-63-marion-street-altona-north-vic/property-details-buy-residential-10590497/"
"Ardeer","51 Suspension St","house",3,695000.0,"2016-11-19","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/51-suspension-street-ardeer-vic/property-details-buy-residential-10582824/"
"Armadale","12/ 41 Kooyong Rd","apartment",3,620000.0,"2016-11-19","passed in vendor bid","Marshall White One","http://www.realestateview.com.au/real-estate/12-41-kooyong-road-armadale-vic/property-details-buy-residential-10592161/"
"Armadale","10 & 12 Kooyong Rd","house",3,2650000.0,"2016-11-19","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/10-and-12-kooyong-road-armadale-vic/property-details-buy-residential-10600411/"
"Armadale","6/ 51 Armadale St","apartment",2,704000.0,"2016-11-15","sold before auction","Greg Hocking Holdsworth",""
"Armadale","555 Dandenong Rd","house",4,2350000.0,"2016-11-10","private sale","hockingstuart",""
"Armadale","30 Barkly Av","house",4,"","2016-11-19","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/30-barkly-avenue-armadale-vic/property-details-buy-residential-10601296/"
"Armadale","5/ 31 Inverness Av","apartment",2,"","2016-11-19","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/5-31-inverness-avenue-armadale-vic/property-details-buy-residential-10604527/"
"Ascot Vale","107/ 8 Burrowes St","apartment",2,540000.0,"2016-11-19","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/107-8-burrowes-street-ascot-vale-vic/property-details-buy-residential-10597006/"
"Ascot Vale","21A Geddes St","house",3,1037500.0,"2016-11-19","auction sale","alexkarbon",""
"Ascot Vale","1/ 20 Newsom St","townhouse",3,1050000.0,"2016-11-19","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/1-20-newsom-street-ascot-vale-vic/property-details-buy-residential-10597152/"
"Ascot Vale","4/ 27 Roseberry St","apartment",2,440000.0,"2016-11-19","auction sale","McDonald Upton","http://www.realestateview.com.au/real-estate/4-27-roseberry-street-ascot-vale-vic/property-details-buy-residential-10590775/"
"Ascot Vale","126 The Parade","house",2,1010000.0,"2016-11-19","auction sale","Brad Teal","http://www.realestateview.com.au/real-estate/126-the-parade-ascot-vale-vic/property-details-buy-residential-10592485/"
"Ascot Vale","1-6/ 83 Maribyrnong Rd","development site",12,2660000.0,"2016-11-17","auction sale","Weda Partners",""
"Ascot Vale","26 Newsom St","house",3,1144880.0,"2016-11-16","private sale","Brad Teal","http://www.realestateview.com.au/real-estate/26-newsom-street-ascot-vale-vic/property-details-sold-residential-10576554/"
"Ascot Vale","9/ 37 Ascot Vale Rd","apartment",1,390000.0,"2016-11-15","private sale","Brad Teal","http://www.realestateview.com.au/real-estate/9-37-ascot-vale-road-ascot-vale-vic/property-details-sold-residential-10513175/"
"Ascot Vale","14 Ormond Rd","house",6,"","2016-11-19","auction sale","Rendina",""
"Ashburton","2/ 17 Ashburn Gr","townhouse",3,900000.0,"2016-11-19","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/2-17-ashburn-grove-ashburton-vic/property-details-buy-residential-10599559/"
"Ashburton","34 Morotai Av","house",3,1570000.0,"2016-11-19","auction sale","Buxton","http://www.realestateview.com.au/real-estate/34-morotai-avenue-ashburton-vic/property-details-buy-residential-10593484/"
"Ashburton","7 Nicholas Rd","house",5,"","2016-11-19","passed in vendor bid","@realty","http://www.realestateview.com.au/real-estate/7-nicholas-road-ashburton-vic/property-details-buy-residential-10602494/"
"Ashwood","17 Parkhill Dr","house",4,1240000.0,"2016-11-19","auction sale","Tim Dwyer Ashburton","http://www.realestateview.com.au/real-estate/17-parkhill-drive-ashwood-vic/property-details-buy-residential-10585766/"
"Ashwood","19/ 2-12 Temple St","unit",2,610000.0,"2016-11-19","auction sale","Buxton","http://www.realestateview.com.au/real-estate/19-2-12-temple-street-ashwood-vic/property-details-buy-residential-10589987/"
"Ashwood","79 Ashwood Dr","house",4,2128000.0,"2016-11-03","sold before auction","Kay & Burton","http://www.realestateview.com.au/real-estate/79-ashwood-drive-ashwood-vic/property-details-sold-residential-10580208/"
"Ashwood","147 Huntingdale Rd","house",3,"","2016-11-19","auction sale","Buxton","http://www.realestateview.com.au/real-estate/147-huntingdale-road-ashwood-vic/property-details-buy-residential-10607522/"
"Ashwood","16 Carlyle St","house",3,"","2016-11-07","sold before auction","Harcourts Mt Waverley",""
"Aspendale","12 Iluka Av","house",3,808888.0,"2016-10-26","sold before auction","hockingstuart",""
"Aspendale Gardens","15 Oriflamme Ct","house",3,692000.0,"2016-11-04","sold before auction","Ray White Mordialloc","http://www.realestateview.com.au/real-estate/15-oriflamme-court-aspendale-gardens-vic/property-details-buy-residential-10604884/"
"Attwood","2 Shoemaker St","house",3,"","2016-11-19","auction sale","Wilson","http://www.realestateview.com.au/real-estate/2-shoemaker-street-attwood-vic/property-details-buy-residential-10599448/"
"Avoca","59A Homebush Rd","land",0,60000.0,"2016-11-08","private sale","Ballarat Real Estate Pty Ltd","http://www.realestateview.com.au/real-estate/59a-homebush-road-avoca-vic/property-details-buy-residential-10067583/"
"Avondale Heights","38 St Raphael St","house",3,795000.0,"2016-11-19","auction sale","Harcourts Vision",""
"Balaclava","2/ 360 Carlisle St","apartment",2,820000.0,"2016-11-19","auction sale","Gary Peer & Associates",""
"Balaclava","2/ 9 Gourlay St","apartment",2,552500.0,"2016-11-19","auction sale","Chisholm & Gamon","http://www.realestateview.com.au/real-estate/2-9-gourlay-street-balaclava-vic/property-details-buy-residential-10600882/"
"Balaclava","12/ 39 Balston St","townhouse",3,"","2016-11-19","auction sale","Buxton",""
"Ballarat Central","706 Mair St","house",4,662000.0,"2016-11-16","private sale","hockingstuart",""
"Ballarat Central","406 Dawson St.S","house",3,325000.0,"2016-11-15","private sale","hockingstuart",""
"Balliang East","13 School Rd","house",4,"","2016-11-16","private sale","Triwest RE - Professionals",""
"Balnarring","42 Balnarring Beach Rd","house",3,821000.0,"2016-11-19","auction sale","Paton EA Balnarring",""
"Balwyn","29 Bevan St","house",4,2188000.0,"2016-11-19","auction sale","Marshall White & Co","http://www.realestateview.com.au/real-estate/29-bevan-street-balwyn-vic/property-details-buy-residential-10600137/"
"Balwyn","2/ 30 Kalimna St","unit",2,755000.0,"2016-11-19","passed in at auction","Noel Jones","http://www.realestateview.com.au/real-estate/2-30-kalimna-street-balwyn-vic/property-details-buy-residential-10603619/"
"Balwyn","13 Austin St","house",4,2500000.0,"2016-10-20","private sale","Jellis Craig",""
"Balwyn","1 Reid St","house",6,"","2016-11-15","sold after auction","Woodards","http://www.realestateview.com.au/real-estate/1-reid-street-balwyn-vic/property-details-buy-residential-10508051/"
"Balwyn North","5 Grieve St","house",4,2205000.0,"2016-11-19","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/5-grieve-street-balwyn-north-vic/property-details-buy-residential-10588568/"
"Balwyn North","2/ 22 Severn St","townhouse",3,1137000.0,"2016-11-19","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/2-22-severn-street-balwyn-north-vic/property-details-buy-residential-10591961/"
"Balwyn North","28 Severn St","house",3,2100000.0,"2016-11-19","passed in vendor bid","Jellis Craig","http://www.realestateview.com.au/real-estate/28-severn-street-balwyn-north-vic/property-details-buy-residential-10596858/"
"Balwyn North","19 Kendari Av","house",5,2500000.0,"2016-11-17","sold before auction","Bekdon Richards","http://www.realestateview.com.au/real-estate/19-kendari-avenue-balwyn-north-vic/property-details-sold-residential-10608183/"
"Balwyn North","48 Hosken St","house",4,"","2016-11-19","passed in at auction","hockingstuart","http://www.realestateview.com.au/real-estate/48-hosken-street-balwyn-north-vic/property-details-buy-residential-10579844/"
"Balwyn North","15 Leicester St","house",3,"","2016-11-19","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/15-leicester-street-balwyn-north-vic/property-details-buy-residential-10589447/"
"Balwyn North","4 Riverside Av","house",4,"","2016-11-14","private sale","Fletchers","http://www.realestateview.com.au/real-estate/4-riverside-avenue-balwyn-north-vic/property-details-buy-residential-10516427/"
"Barwon Heads","13 Noble St","house",3,855000.0,"2016-11-20","auction sale","R T Edgar","http://www.realestateview.com.au/real-estate/13-noble-street-barwon-heads-vic/property-details-buy-residential-10592346/"
"Bayswater","6/ 30 High St","unit",2,416000.0,"2016-11-19","auction sale","iTRAK RE","http://www.realestateview.com.au/real-estate/6-30-high-street-bayswater-vic/property-details-buy-residential-10616314/"
"Bayswater","3 Leonard St","house",3,750000.0,"2016-11-19","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/3-leonard-street-bayswater-vic/property-details-buy-residential-10589620/"
"Bayswater","59 Ozone Rd","house",2,586000.0,"2016-11-19","auction sale","Ray White Bayswater","http://www.realestateview.com.au/real-estate/59-ozone-road-bayswater-vic/property-details-buy-residential-10599299/"
"Bayswater","14/ 3-5 Birch St","apartment",2,421260.0,"2016-11-12","private sale","Ray White Croydon",""
"Bayswater","8/ 15-17 View Rd","townhouse",3,610000.0,"2016-10-29","private sale","Ray White Croydon",""
"Bayswater North","12/ 9-11 Bayfield Rd.W","unit",3,500000.0,"2016-11-19","auction sale","Ray White Bayswater",""
"Bayswater North","16 Ivon St","house",3,"","2016-11-01","private sale","hockingstuart","http://www.realestateview.com.au/real-estate/16-ivon-street-bayswater-north-vic/property-details-sold-residential-10573273/"
"Beaufort","20 Orchid Ct","land",0,59000.0,"2016-11-15","private sale","hockingstuart","http://www.realestateview.com.au/real-estate/20-orchid-court-beaufort-vic/property-details-sold-residential-10522745/"
"Beaumaris","91 Bonanza Rd","house",3,1595000.0,"2016-11-19","auction sale","Buxton","http://www.realestateview.com.au/real-estate/91-bonanza-road-beaumaris-vic/property-details-buy-residential-10586893/"
"Beaumaris","3 Biarritz Av","townhouse",3,1375000.0,"2016-11-09","private sale","Century 21 McCann Alliance",""
"Beaumaris","438 Balcombe Rd","house",5,"","2016-11-19","auction sale","Hodges","http://www.realestateview.com.au/real-estate/438-balcombe-road-beaumaris-vic/property-details-buy-residential-10604498/"
"Beaumaris","23 Wellington Av","house",4,"","2016-11-16","passed in at auction","Hodges","http://www.realestateview.com.au/real-estate/23-wellington-avenue-beaumaris-vic/property-details-buy-residential-10549792/"
"Beaumaris","2/ 24A Alfred St","unit",2,"","2016-11-14","private sale","Nick Johnstone Real Estate",""
"Bell Park","18 Vistula Av","house",0,354000.0,"2016-10-29","private sale","Buxton","http://www.realestateview.com.au/real-estate/18-vistula-avenue-bell-park-vic/property-details-sold-residential-10582084/"
"Bellfield","1 Wilkinson Cr","house",3,785000.0,"2016-11-19","auction sale","Miles RE","http://www.realestateview.com.au/real-estate/1-wilkinson-crescent-bellfield-vic/property-details-buy-residential-10595798/"
"Belmont","1 Church St","house",3,595000.0,"2016-11-19","auction sale","Stockdale & Leggo South Barwon",""
"Belmont","2 Hawthorn Av","house",3,660000.0,"2016-11-19","auction sale","Barnett Real Estate",""
"Belmont","5 Matilda Ct","house",3,400000.0,"2016-11-19","auction sale","Ray White Highton","http://www.realestateview.com.au/real-estate/5-matilda-court-belmont-vic/property-details-buy-residential-10599230/"
"Belmont","25 Morris St","house",4,450000.0,"2016-11-19","auction sale","Buxton","http://www.realestateview.com.au/real-estate/25-morris-street-belmont-vic/property-details-buy-residential-10598012/"
"Belmont","21 Rotherham St","house",4,559000.0,"2016-11-19","auction sale","Ray White Highton","http://www.realestateview.com.au/real-estate/21-rotherham-street-belmont-vic/property-details-buy-residential-10601226/"
"Bendigo","Lot 1 32 Arthur St","house",3,"","2016-11-18","passed in vendor bid","Tweed Sutherland First National","http://www.commercialview.com.au/lot-1-32-arthur-street-bendigo-vic/commercial-buy-details-10593882/"
"Bendigo","Lot 2 32 Arthur St","land",0,"","2016-11-18","passed in vendor bid","Tweed Sutherland First National","http://www.commercialview.com.au/lot-2-32-arthur-street-bendigo-vic/commercial-buy-details-10593881/"
"Bendigo","86 King St","house",5,"","2016-11-17","sold before auction","Dungey Carter Ketterer","http://www.realestateview.com.au/real-estate/86-king-street-bendigo-vic/property-details-buy-residential-10586567/"
"Bendigo","119 Queen St","house",3,"","2016-11-17","sold before auction","Dungey Carter Ketterer","http://www.realestateview.com.au/real-estate/119-queen-street-bendigo-vic/property-details-buy-residential-10586565/"
"Bentleigh","17B Delhi St","townhouse",4,1250000.0,"2016-11-19","passed in at auction","hockingstuart","http://www.realestateview.com.au/real-estate/17b-delhi-street-bentleigh-vic/property-details-buy-residential-10603810/"
"Bentleigh","25 Mitchell St","house",3,1448000.0,"2016-11-19","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/25-mitchell-street-bentleigh-vic/property-details-buy-residential-10585275/"
"Bentleigh","28B Scotts St","townhouse",4,1400000.0,"2016-11-19","passed in vendor bid","Woodards","http://www.realestateview.com.au/real-estate/28b-scotts-street-bentleigh-vic/property-details-buy-residential-10596988/"
"Bentleigh","3/ 148 Tucker Rd","apartment",2,520000.0,"2016-11-19","auction sale","McGrath St Kilda","http://www.realestateview.com.au/real-estate/3-148-tucker-road-bentleigh-vic/property-details-buy-residential-10598126/"
"Bentleigh","1/ 7 Uonga Rd","unit",2,820000.0,"2016-11-19","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/1-7-uonga-road-bentleigh-vic/property-details-buy-residential-10602445/"
"Bentleigh","12 Werona St","townhouse",3,740000.0,"2016-11-19","passed in at auction","Woodards","http://www.realestateview.com.au/real-estate/12-werona-street-bentleigh-vic/property-details-buy-residential-10600885/"
"Bentleigh","11 Wheatley Rd","house",4,1910000.0,"2016-11-14","private sale","McGrath Bentleigh","http://www.realestateview.com.au/real-estate/11-wheatley-road-bentleigh-vic/property-details-buy-residential-10580691/"
"Bentleigh East","75 Castlewood St","house",3,1081000.0,"2016-11-19","auction sale","Ray White Carnegie","http://www.realestateview.com.au/real-estate/75-castlewood-street-bentleigh-east-vic/property-details-buy-residential-10598806/"
"Bentleigh East","14 Charles St","townhouse",3,935000.0,"2016-11-19","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/14-charles-street-bentleigh-east-vic/property-details-buy-residential-10602506/"
"Bentleigh East","14 Florence St","house",3,977000.0,"2016-11-19","auction sale","Buxton","http://www.realestateview.com.au/real-estate/14-florence-street-bentleigh-east-vic/property-details-buy-residential-10568881/"
"Bentleigh East","1 Jassa St","house",3,1352000.0,"2016-11-19","auction sale","Woodards","http://www.realestateview.com.au/real-estate/1-jassa-street-bentleigh-east-vic/property-details-buy-residential-10596984/"
"Bentleigh East","2A Milford St","townhouse",4,1200000.0,"2016-11-19","passed in vendor bid","Century 21 On Centre","http://www.realestateview.com.au/real-estate/2a-milford-street-bentleigh-east-vic/property-details-buy-residential-10604219/"
"Bentleigh East","25 Thornton St","house",3,1000000.0,"2016-11-15","private sale","Buxton","http://www.realestateview.com.au/real-estate/25-thornton-street-bentleigh-east-vic/property-details-sold-residential-10568880/"
"Bentleigh East","4 Kadir St","house",4,1460000.0,"2016-11-13","private sale","Buxton",""
"Bentleigh East","5 Sheffield St","house",4,1153000.0,"2016-11-05","private sale","Woodards","http://www.realestateview.com.au/real-estate/5-sheffield-street-bentleigh-east-vic/property-details-sold-residential-9760817/"
