"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","413a/609 Victoria St","apartment",2,650000.0,"2018-07-14","private sale","Biggin & Scott",""
"Airport West","1/10 Highlands Av","townhouse",3,760000.0,"2018-07-26","private sale","Barry Plant","https://www.realestateview.com.au/real-estate/1-10-highlands-avenue-airport-west-vic/property-details-buy-residential-11708953/"
"Albert Park","112 Danks St","house",2,1520000.0,"2018-07-31","sold before auction","Greg Hocking Holdsworth",""
"Albert Park","65 Moubray St","house",4,,"2018-08-04","auction sale","Greg Hocking Holdsworth",""
"Albert Park","70 Mills St","house",3,,"2018-07-26","sold before auction","Marshall White & Co","https://www.realestateview.com.au/real-estate/70-mills-street-albert-park-vic/property-details-sold-residential-11977743/"
"Alfredton","36 Beaufort Av","house",3,378000.0,"2018-08-01","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/36-beaufort-avenue-alfredton-vic/property-details-sold-residential-11982471/"
"Alfredton","17-19 Indi St","house",5,532000.0,"2018-07-27","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/17-19-indi-street-alfredton-vic/property-details-sold-residential-11880212/"
"Alphington","8/1A Hamilton St","townhouse",3,785000.0,"2018-08-04","passed in at auction","Love & Co",""
"Alphington","22 Naroon Rd","house",2,,"2018-08-03","sold before auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/22-naroon-road-alphington-vic/property-details-sold-residential-11993392/"
"Altona","2/165 Maidstone St","townhouse",3,,"2018-08-04","passed in at auction","hockingstuart",""
"Altona Meadows","15 Dixon Ct","house",4,600000.0,"2018-08-04","auction sale","Ray White Point Cook","https://www.realestateview.com.au/real-estate/15-dixon-court-altona-meadows-vic/property-details-buy-residential-11977768/"
"Altona Meadows","24 Knightsbridge Av","house",3,,"2018-08-04","passed in vendor bid","Compton Green",""
"Ardeer","252 Forrest St","house",3,701000.0,"2018-08-04","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/252-forrest-street-ardeer-vic/property-details-buy-residential-11974754/"
"Ardeer","107 Maxweld St","house",2,630000.0,"2018-08-04","auction sale","Burnham","https://www.realestateview.com.au/real-estate/107-maxweld-street-ardeer-vic/property-details-buy-residential-11947185/"
"Armadale","2/17 Northcote Rd","townhouse",3,1364000.0,"2018-08-04","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/2-17-northcote-road-armadale-vic/property-details-sold-residential-11979751/"
"Armadale","2/51 Kooyong Rd","apartment",1,436000.0,"2018-08-01","auction sale","Pride Real Estate",""
"Armadale","76 Sutherland Rd","house",4,,"2018-08-04","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/76-sutherland-road-armadale-vic/property-details-sold-residential-11973483/"
"Armadale","4/38 Wattletree Rd","apartment",1,,"2018-08-04","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/4-38-wattletree-road-armadale-vic/property-details-buy-residential-11977470/"
"Armadale","1/1 Armadale St","apartment",1,,"2018-07-28","private sale","Woodards Oakleigh","https://www.realestateview.com.au/real-estate/1-1-armadale-street-armadale-vic/property-details-sold-residential-11941515/"
"Ascot Vale","60 Kent St","house",4,1380000.0,"2018-08-04","auction sale","Rendina",""
"Ashburton","11 Vears Rd","house",4,,"2018-08-04","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/11-vears-road-ashburton-vic/property-details-sold-residential-11970605/"
"Ashwood","2/25 Mulgrave St","townhouse",3,900000.0,"2018-08-04","passed in at auction","McGrath Waverley",""
"Ashwood","23 Yooralla St","house",4,2345000.0,"2018-07-14","private sale","JRW Property International",""
"Ashwood","36 Douglas St","house",3,,"2018-08-04","auction sale","Buxton Ashburton","https://www.realestateview.com.au/real-estate/36-douglas-street-ashwood-vic/property-details-buy-residential-11973726/"
"Attwood","23 Innkeepers Way","house",5,860000.0,"2018-08-04","sold before auction","Stockdale & Leggo Gladstone Park",""
"Avondale Heights","4A Dumas Av","house",2,550000.0,"2018-08-04","passed in at auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/4a-dumas-avenue-avondale-heights-vic/property-details-buy-residential-11932063/"
"Avondale Heights","3/9A Weyburn Pl","land",0,420000.0,"2018-07-17","private sale","Barry Plant","https://www.realestateview.com.au/real-estate/3-9a-weyburn-place-avondale-heights-vic/property-details-buy-residential-11284666/"
"Balaclava","6/66 Grosvenor St","apartment",2,480000.0,"2018-08-04","auction sale","RT Edgar Albert Park",""
"Balaclava","3/105 Grosvenor St","apartment",3,,"2018-08-01","sold before auction","Wilson",""
"Ballan","17 Jasmine Cr","house",3,450000.0,"2018-07-26","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/17-jasmine-crescent-ballan-vic/property-details-sold-residential-11950956/"
"Ballarat Central","6A Grenville St.S","house",3,720000.0,"2018-08-03","private sale","PRD Nationwide",""
"Ballarat Central","316 Lyons St","house",3,400000.0,"2018-07-11","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/316-lyons-street-south-ballarat-central-vic/property-details-sold-residential-11954169/"
"Ballarat East","8 Otway St.N","house",4,720000.0,"2018-07-17","sold before auction","Buxton",""
"Ballarat North","29 Paling St","house",4,350000.0,"2018-07-30","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/29-paling-street-ballarat-north-vic/property-details-sold-residential-11921498/"
"Balwyn","6 Birdwood St","house",5,,"2018-07-26","private sale","Ray White Balwyn",""
"Balwyn North","1A Page St","house",4,2500000.0,"2018-08-04","passed in vendor bid","Fletchers","https://www.realestateview.com.au/real-estate/1a-page-street-balwyn-north-vic/property-details-buy-residential-11955528/"
"Balwyn North","1/39 Trentwood Av","unit",2,806000.0,"2018-08-03","sold before auction","Ham Kerr Property","https://www.realestateview.com.au/real-estate/1-39-trentwood-avenue-balwyn-north-vic/property-details-sold-residential-11975899/"
"Balwyn North","312/3 Tannock St","apartment",3,770000.0,"2018-07-25","private sale","Philip Webb","https://www.realestateview.com.au/real-estate/312-3-tannock-street-balwyn-north-vic/property-details-sold-residential-11887768/"
"Balwyn North","8 Tormey St","house",4,,"2018-08-04","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/8-tormey-street-balwyn-north-vic/property-details-buy-residential-11977954/"
"Balwyn North","37 Woodville St","house",5,,"2018-07-28","private sale","Ray White Balwyn",""
"Baxter","15 Baxter Cr","house",3,780000.0,"2018-08-04","auction sale","Craig Mann First National","https://www.realestateview.com.au/real-estate/15-baxter-crescent-baxter-vic/property-details-buy-residential-11935972/"
"Bayswater","43 Terama Cr","house",3,765000.0,"2018-08-04","auction sale","iTRAK RE",""
"Bayswater","38b Victoria Rd","house",2,540000.0,"2018-07-21","private sale","Barry Plant","https://www.realestateview.com.au/real-estate/38b-victoria-road-bayswater-vic/property-details-sold-residential-11940931/"
"Beaumaris","17 Woff St","house",3,1650000.0,"2018-08-04","auction sale","Chisholm & Gamon Black Rock","https://www.realestateview.com.au/real-estate/17-woff-street-beaumaris-vic/property-details-buy-residential-11968489/"
"Beaumaris","195 Balcombe Rd","house",4,,"2018-08-04","auction sale","Buxton","https://www.realestateview.com.au/real-estate/195-balcombe-road-beaumaris-vic/property-details-buy-residential-11971292/"
"Beaumaris","4B Mariemont Av","townhouse",4,,"2018-08-04","passed in vendor bid","Buxton","https://www.realestateview.com.au/real-estate/4b-mariemont-avenue-beaumaris-vic/property-details-buy-residential-11969198/"
"Bell Park","13 Dena Ct","house",4,,"2018-08-04","auction sale","Buxton",""
"Belmont","5 Polwarth Cr","house",4,575000.0,"2018-08-04","auction sale","Paul Bell Real Estate",""
"Bentleigh","2/544 Centre Rd","townhouse",2,743000.0,"2018-08-04","auction sale","Buxton","https://www.realestateview.com.au/real-estate/2-544-centre-road-bentleigh-vic/property-details-buy-residential-11978663/"
"Bentleigh","2/81 Daley St","apartment",3,681000.0,"2018-08-04","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/2-81-daley-street-bentleigh-vic/property-details-buy-residential-11980517/"
"Bentleigh","2/10 Pleasance St","townhouse",2,898000.0,"2018-08-04","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/2-10-pleasance-street-bentleigh-vic/property-details-buy-residential-11977518/"
"Bentleigh","60A Railway Cr","townhouse",4,1355200.0,"2018-07-29","private sale","Buxton","https://www.realestateview.com.au/real-estate/60a-railway-crescent-bentleigh-vic/property-details-sold-residential-11999880/"
"Bentleigh","60B Railway Cr","townhouse",4,1310000.0,"2018-07-17","private sale","Buxton","https://www.realestateview.com.au/real-estate/60b-railway-crescent-bentleigh-vic/property-details-sold-residential-11066551/"
"Bentleigh","19 Gilmour Rd","townhouse",4,,"2018-08-04","passed in vendor bid","Darras & Zervas Estate Agents",""
"Bentleigh East","6 Hill St","house",3,1100000.0,"2018-08-04","passed in vendor bid","Woodards","https://www.realestateview.com.au/real-estate/6-hill-street-bentleigh-east-vic/property-details-buy-residential-11974962/"
"Bentleigh East","9 Noora Av","townhouse",4,1225000.0,"2018-08-04","passed in at auction","Jellis Craig","https://www.realestateview.com.au/real-estate/9-noora-avenue-bentleigh-east-vic/property-details-buy-residential-11977619/"
"Bentleigh East","20 Claronga St","house",4,980000.0,"2018-07-11","private sale","Greg Hocking Poulios","https://www.realestateview.com.au/real-estate/20-claronga-street-bentleigh-east-vic/property-details-sold-residential-11528733/"
"Bentleigh East","374 Mckinnon Rd","house",4,,"2018-08-04","passed in at auction","Jellis Craig","https://www.realestateview.com.au/real-estate/374-mckinnon-road-bentleigh-east-vic/property-details-buy-residential-11977761/"
"Bentleigh East","26 Molden St","house",3,,"2018-08-02","sold before auction","Gary Peer & Associates","https://www.realestateview.com.au/real-estate/26-molden-street-bentleigh-east-vic/property-details-sold-residential-11973267/"
"Black Rock","1/18 First St","townhouse",3,,"2018-08-04","auction sale","Buxton","https://www.realestateview.com.au/real-estate/1-18-first-street-black-rock-vic/property-details-buy-residential-11977936/"
"Black Rock","31 Central Av","house",4,,"2018-07-18","sold before auction","Buxton","https://www.realestateview.com.au/real-estate/31-central-avenue-black-rock-vic/property-details-sold-residential-11961980/"
"Blackburn","5/169 Surrey Rd","townhouse",4,890000.0,"2018-08-04","passed in vendor bid","Ray White Box Hill","https://www.realestateview.com.au/real-estate/5-169-surrey-road-blackburn-vic/property-details-buy-residential-11972427/"
"Blackburn","101/17 Station St","apartment",2,520000.0,"2018-07-30","private sale","Ray White Blackburn","https://www.realestateview.com.au/real-estate/101-17-station-street-blackburn-vic/property-details-sold-residential-11756326/"
"Blackburn","6/27A Laburnum St","unit",1,,"2018-08-04","passed in vendor bid","Harcourts Mt Waverley",""
"Blackburn South","21 Richmond St","house",3,1000000.0,"2018-08-04","passed in at auction","Barry Plant",""
"Boronia","12 Rothan Av","house",4,740000.0,"2018-08-04","passed in at auction","Barry Plant","https://www.realestateview.com.au/real-estate/12-rothan-avenue-boronia-vic/property-details-buy-residential-11987193/"
"Boronia","9 Crotty Rd","house",3,757000.0,"2018-08-01","sold before auction","Professionals Wantirna",""
"Box Hill","438 Station St","house",3,1455000.0,"2018-08-04","auction sale","Buxton","https://www.realestateview.com.au/real-estate/438-station-street-box-hill-vic/property-details-buy-residential-11967830/"
"Box Hill North","2/508 Elgar Rd","unit",2,720000.0,"2018-08-04","passed in vendor bid","hockingstuart","https://www.realestateview.com.au/real-estate/2-508-elgar-road-box-hill-north-vic/property-details-buy-residential-11979820/"
"Box Hill North","3/18 Thames St","unit",2,643000.0,"2018-08-04","auction sale","Woodards","https://www.realestateview.com.au/real-estate/3-18-thames-street-box-hill-north-vic/property-details-sold-residential-11955758/"
"Box Hill North","19 Mckean St","house",4,,"2018-08-04","auction sale","Ray White",""
"Braybrook","12 Carlton Ct","house",3,900000.0,"2018-08-04","passed in vendor bid","Barry Plant","https://www.realestateview.com.au/real-estate/12-carlton-court-braybrook-vic/property-details-buy-residential-11964946/"
"Braybrook","2 Hancock Cr","house",3,695000.0,"2018-08-04","auction sale","hockingstuart",""
"Braybrook","2 Palmer St","house",3,690000.0,"2018-08-04","passed in at auction","Douglas Kay Sunshine",""
"Braybrook","18 Balmoral St","house",5,,"2018-08-04","passed in at auction","Douglas Kay Sunshine",""
"Braybrook","12 Orange St","house",3,,"2018-08-04","auction sale","Stockdale & Leggo Sunshine",""
"Briar Hill","136 St Helena Rd","land",0,,"2018-08-04","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/136-st-helena-road-briar-hill-vic/property-details-buy-residential-11978721/"
"Brighton","6/1 Clarkson Av","townhouse",3,1360000.0,"2018-08-04","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/6-1-clarkson-avenue-brighton-vic/property-details-buy-residential-11977292/"
"Brighton","6 Wilson St","house",4,4400000.0,"2018-08-04","passed in at auction","Nick Johnstone Real Estate","https://www.realestateview.com.au/real-estate/6-wilson-street-brighton-vic/property-details-buy-residential-11930149/"
"Brighton","14A Rose St","house",3,1100000.0,"2018-07-30","private sale","Nick Johnstone Real Estate","https://www.realestateview.com.au/real-estate/14a-rose-street-brighton-vic/property-details-sold-residential-11959155/"
"Brighton","1/11 New St","house",4,2020000.0,"2018-07-25","private sale","Whitefox Real Estate",""
"Brighton","107 Head St","house",4,,"2018-08-04","auction sale","Nick Johnstone Real Estate","https://www.realestateview.com.au/real-estate/107-head-street-brighton-vic/property-details-sold-residential-11932057/"
"Brighton","1/10 Manor St","townhouse",3,,"2018-08-04","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/1-10-manor-street-brighton-vic/property-details-sold-residential-11977610/"
"Brighton","5a Manor St","townhouse",3,,"2018-07-25","private sale","Marshall White & Co",""
