Abbotsford,84 Trenerry Cr,house,2,698000.0,2015,10,10,passed in at auction,Biggin & Scott,http://www.realestateview.com.au/Real-Estate/11-84-trenerry-crescent-abbotsford/Property-Details-sold-residential-7795464.html
Abbotsford,145 Yarra St,house,2,0,2015,10,10,auction sale,Woodards,
Airport West,7/ 24 Laurence Av,townhouse,2,465000.0,2015,10,10,sold before auction,Nelson Alexander,
Airport West,254 Parer Rd,house,3,662000.0,2015,10,10,auction sale,Nelson Alexander,
Airport West,116 Parer Rd,house,3,560000.0,2015,10,10,passed in at auction,Frank Dowling Essendon,
Airport West,El Reno Cr,house,5,815000.0,2015,10,1,private sale,Barry Plant,http://www.realestateview.com.au/Real-Estate/19-el-reno-crescent-airport-west/Property-Details-sold-residential-9368766.html
Albert Park,61 Barrett St,house,2,1270000.0,2015,10,10,auction sale,Cayzer,
Albert Park,123 Danks St,house,2,1310000.0,2015,10,10,auction sale,Greg Hocking Holdsworth,
Albert Park,36 Greig St,house,2,1320000.0,2015,10,10,auction sale,Cayzer,
Albert Park,254 Danks St,house,2,0,2015,10,10,auction sale,Marshall White & Co,
Alfredton,Wilmott St,house,0,390000.0,2015,9,21,private sale,Harcourts Ballarat,http://www.realestateview.com.au/Real-Estate/10-wilmott-street-alfredton/Property-Details-sold-residential-9491632.html
Alfredton,Leicester Ct,house,0,445000.0,2015,9,5,private sale,Harcourts Ballarat,http://www.realestateview.com.au/Real-Estate/3-leicester-court-alfredton/Property-Details-sold-residential-9272906.html
Alfredton,Regal Dr,land,0,0,2015,10,8,private sale,hockingstuart,
Alfredton,Sturt St,land,0,0,2015,10,1,private sale,hockingstuart,
Alphington,Arbor St,apartment,2,435000.0,2015,10,5,private sale,Barry Plant,http://www.realestateview.com.au/Real-Estate/3-1-arbor-street-alphington/Property-Details-sold-residential-9442744.html
Altona Meadows,30 Dickenson St,house,4,665000.0,2015,10,10,auction sale,Sweeney,
Altona Meadows,Holzgrefe Ct,unit,2,330000.0,2015,9,30,private sale,hockingstuart,http://www.realestateview.com.au/Real-Estate/2-15-holzgrefe-court-altona-meadows/Property-Details-sold-residential-9435456.html
Altona North,1/ 5 Douglas St,unit,2,501000.0,2015,10,10,auction sale,Williams RE,
Altona North,44 Rosala Av,house,3,705000.0,2015,10,10,auction sale,Williams RE,
Altona North,35 Rosala Av,house,3,700000.0,2015,10,10,auction sale,Sweeney,
Altona North,Amaranth Av,house,5,767000.0,2015,10,9,private sale,Gunn & Co,
Altona North,98 Sixth Av,house,3,690000.0,2015,9,25,sold before auction,Hunter French RE,
Altona North,Marigold Av,house,3,0,2015,9,17,private sale,hockingstuart,
Ardeer,Blanche St,house,2,360000.0,2015,9,30,private sale,Bells Real Estate,http://www.realestateview.com.au/Real-Estate/97-blanche-street-ardeer/Property-Details-sold-residential-8966270.html
Ardeer,Chelsey St,unit,1,250000.0,2015,9,4,private sale,Bells Real Estate,http://www.realestateview.com.au/Real-Estate/2-33-chelsey-street-ardeer/Property-Details-sold-residential-9283934.html
Armadale,12/ 43 Armadale St,apartment,2,0,2015,10,10,auction sale,Jellis Craig,
Armadale,102 Sutherland Rd,house,2,0,2015,10,10,auction sale,Jellis Craig,
Armadale,5/ 17 Myamyn St,apartment,2,0,2015,10,9,sold before auction,Marshall White & Co,http://www.realestateview.com.au/Real-Estate/5-17-myamyn-street-armadale/Property-Details-sold-residential-9489172.html
Armadale,Huntingtower Rd,house,4,0,2015,10,1,private sale,Marshall White & Co,
Arthurs Seat,Stean Av,house,3,515000.0,2015,9,12,private sale,Jacobs & Lowe Mornington,
Ascot Vale,3/ 22 Epsom Rd,townhouse,2,590000.0,2015,10,10,auction sale,Paul McDonald,http://www.realestateview.com.au/Real-Estate/3-22-epsom-road-ascot-vale/Property-Details-sold-residential-9524098.html
Ascot Vale,2 Nairn Av,house,4,1100000.0,2015,10,10,passed in vendor bid,Nelson Alexander,
Ascot Vale,22/ 1-3 Sandown Rd,unit,2,380000.0,2015,10,10,passed in vendor bid,Brad Teal,
Ascot Vale,4/ 105 St Leonards Rd,townhouse,3,666000.0,2015,10,10,auction sale,Raine & Horne Ascot Vale,
Ascot Vale,Roseberry St,house,2,557000.0,2015,10,7,private sale,Hodges,http://www.realestateview.com.au/Real-Estate/4-57-roseberry-street-ascot-vale/Property-Details-sold-residential-9427868.html
Ascot Vale,66 Charles St,house,3,0,2015,10,9,sold before auction,Rendina,
Ashburton,11 Crete Av,house,4,1426000.0,2015,10,10,auction sale,hockingstuart,
Ashburton,77 Dent St,house,4,1710000.0,2015,10,10,auction sale,Marshall White & Co,
Ashburton,10 Laurel St,house,3,1227000.0,2015,10,10,auction sale,Tim Dwyer Ashburton,
Ashburton,112 Ashburn Gr,house,4,0,2015,10,10,auction sale,Marshall White & Co,
Ashburton,119 Ashburn Gr,house,3,0,2015,10,10,auction sale,Buxton,
Ashburton,3/ 11 Sunderland Av,townhouse,3,0,2015,10,10,auction sale,Tim Dwyer Ashburton,
Ashwood,6 Woolert St,house,4,1750000.0,2015,10,10,passed in vendor bid,Jellis Craig,
Ashwood,11 Queens Pde,house,5,2201000.0,2015,9,29,sold before auction,R T Edgar Boroondara,http://www.realestateview.com.au/Real-Estate/11-queens-parade-ashwood/Property-Details-sold-residential-9517908.html
Ashwood,1/ 4 Condah Ct,unit,3,0,2015,10,4,sold before auction,Re/Max Property Specialists,
Aspendale,16/ 50 Nepean Hwy,unit,2,390000.0,2015,10,10,passed in vendor bid,Hodges,
Aspendale,117C Nepean Hwy,townhouse,3,1710000.0,2015,10,10,passed in at auction,hockingstuart,
Aspendale,36 Laura St,house,4,812000.0,2015,10,9,sold before auction,Ray White Mordialloc,
Aspendale,38 Albany Cr,house,4,980000.0,2015,10,7,sold before auction,Buxton,http://www.realestateview.com.au/Real-Estate/38-albany-crescent-aspendale/Property-Details-sold-residential-9483112.html
Aspendale Gardens,22 Llewellyn Av,house,3,715000.0,2015,10,10,auction sale,iSell,
Aspendale Gardens,1 Spicer Ct,house,4,791000.0,2015,10,10,auction sale,Buxton,
Avondale Heights,29 Barbara Cr,house,3,630000.0,2015,10,10,auction sale,Moonee Valley RE,
Avondale Heights,10 Herbert St,house,3,702000.0,2015,10,10,auction sale,Nelson Alexander,
Avondale Heights,40 Skewes St,house,3,518000.0,2015,10,10,auction sale,Harcourts Vision,
Avondale Heights,Weyburn Pl,land,0,290000.0,2015,10,2,private sale,Barry Plant,
Avondale Heights,120 Canning St,house,4,0,2015,10,10,auction sale,Nelson Alexander,
Avondale Heights,3 Hillman Ct,house,4,0,2015,10,10,auction sale,Nelson Alexander,
Avondale Heights,24 Sovereign Way,house,4,0,2015,10,10,auction sale,Brad Teal,
Bairnsdale,37 Day St,house,4,0,2015,10,10,passed in at auction,Bill Wyndham & Co Bairnsdale,
Balaclava,4/ 38 The Avenue,apartment,2,550000.0,2015,9,23,sold before auction,Hodges,
Ballarat Central,Dana St,house,0,340000.0,2015,9,22,private sale,Harcourts Ballarat,http://www.realestateview.com.au/Real-Estate/702a-dana-street-ballarat-central/Property-Details-sold-residential-9459078.html
Ballarat East,Fussell St,unit,2,309000.0,2015,10,5,private sale,PRD Nationwide,
Ballarat East,Ebden St,house,3,371000.0,2015,10,2,private sale,Ballarat Real Estate Pty Ltd,
Ballarat East,Wesley Ct,house,4,320000.0,2015,9,29,private sale,Wilson Estate Agents,
Ballarat East,York St,house,2,230000.0,2015,9,11,private sale,Ray White Ballarat,http://www.realestateview.com.au/Real-Estate/309-york-street-ballarat-east/Property-Details-sold-residential-9278856.html
Ballarat North,Mathoura Pl,house,2,275000.0,2015,10,4,private sale,PRD Nationwide,http://www.realestateview.com.au/Real-Estate/30-mathoura-place-ballarat-north/Property-Details-sold-residential-9267834.html
Balnarring,Warrawee Rd,house,2,480000.0,2015,9,2,private sale,Harcourts Hastings,
Balwyn,2 Bennett St,house,3,2910000.0,2015,10,10,auction sale,hockingstuart,
Balwyn,44 Birdwood St,house,2,1810000.0,2015,10,10,auction sale,Fletchers,
Balwyn,3/ 3 Birtles St,apartment,2,478800.0,2015,10,10,auction sale,Nelson Alexander,
Balwyn,2/ 4A Collins Ct,townhouse,4,1300000.0,2015,10,10,passed in at auction,Jellis Craig,
Balwyn,4 Kalgurli Ct,house,4,1650000.0,2015,10,10,passed in at auction,hockingstuart,
Balwyn,5/ 352-354 Whitehorse Rd,townhouse,3,1270000.0,2015,10,10,auction sale,Jellis Craig,
Balwyn,125B Winmalee Rd,house,3,1650000.0,2015,10,10,passed in vendor bid,Jellis Craig,
Balwyn,4/ 34 -36 Yerrin St,unit,2,650100.0,2015,10,10,auction sale,Noel Jones,
