Abbotsford,2 St Philips St,house,3,1380000.0,2017,8,26,passed in at auction,Biggin & Scott,https://www.realestateview.com.au/real-estate/2-st-philips-street-abbotsford-vic/property-details-buy-residential-11219200/
Abbotsford,101/ 372 Johnston St,apartment,2,465000.0,2017,8,9,private sale,Biggin & Scott,https://www.realestateview.com.au/real-estate/101-372-johnston-street-abbotsford-vic/property-details-buy-residential-11104166/
Abbotsford,75 Studley St,house,4,0,2017,8,26,passed in at auction,Biggin & Scott,https://www.realestateview.com.au/real-estate/75-studley-street-abbotsford-vic/property-details-buy-residential-11219254/
Abbotsford,70/ 80 Trenerry Cr,house,2,0,2017,8,26,passed in at auction,Biggin & Scott,https://www.realestateview.com.au/real-estate/70-80-trenerry-crescent-abbotsford-vic/property-details-buy-residential-11219196/
Abbotsford,217/ 88 Trenerry Cr,apartment,2,0,2017,8,21,private sale,Nelson Alexander,https://www.realestateview.com.au/real-estate/217-88-trenerry-crescent-abbotsford-vic/property-details-sold-residential-10273159/
Abbotsford,B604/ 627 Victoria St,apartment,3,0,2017,8,17,private sale,McGrath Projects,
Airport West,11 Grange Rd,house,3,976500.0,2017,8,26,auction sale,Barry Plant,https://www.realestateview.com.au/real-estate/11-grange-road-airport-west-vic/property-details-buy-residential-11212886/
Airport West,125 Parer Rd,house,3,880000.0,2017,8,26,auction sale,Jellis Craig,https://www.realestateview.com.au/real-estate/125-parer-road-airport-west-vic/property-details-buy-residential-11223347/
Albert Park,59 Barrett St,house,3,2340000.0,2017,8,26,auction sale,Greg Hocking Holdsworth,
Albert Park,6 Pickles St,house,3,2225000.0,2017,8,26,auction sale,Greg Hocking Holdsworth,
Alfredton,12 Creekstone Dr,house,4,375000.0,2017,8,18,private sale,Ballarat Real Estate Pty Ltd,https://www.realestateview.com.au/real-estate/12-creekstone-drive-alfredton-vic/property-details-sold-residential-10821853/
Alfredton,Lot 476 Sparkling Cl,house,0,0,2017,8,24,private sale,hockingstuart,
Alphington,38 Grange Rd,house,3,1700000.0,2017,8,21,private sale,Nelson Alexander,https://www.realestateview.com.au/real-estate/38-grange-road-alphington-vic/property-details-buy-residential-11077764/
Altona,2/ 134 Civic Pde,unit,2,672000.0,2017,8,26,auction sale,Sweeney,
Altona,1/ 76 Queen St,unit,2,801250.0,2017,8,26,auction sale,Sweeney,
Altona,7/ 36 Sargood St,townhouse,3,820000.0,2017,8,11,sold before auction,hockingstuart,https://www.realestateview.com.au/real-estate/7-36-sargood-street-altona-vic/property-details-sold-residential-11227109/
Altona,9 Lark St,house,3,0,2017,8,24,private sale,hockingstuart,https://www.realestateview.com.au/real-estate/9-lark-street-altona-vic/property-details-buy-residential-11182442/
Altona,1 Stanley St,house,4,0,2017,8,21,private sale,hockingstuart,https://www.realestateview.com.au/real-estate/1-stanley-street-altona-vic/property-details-buy-residential-11090578/
Altona North,23 Hatherley Gr,house,3,791000.0,2017,8,26,auction sale,Jas Stephens - Williamstown,
Altona North,51B Macdonald Av,townhouse,3,730000.0,2017,8,26,auction sale,Williams RE,https://www.realestateview.com.au/real-estate/51b-macdonald-avenue-altona-north-vic/property-details-buy-residential-11208656/
Ararat,226 Nott Rd,house,4,405000.0,2017,8,15,private sale,Ballarat Real Estate Pty Ltd,https://www.realestateview.com.au/real-estate/226-nott-road-ararat-vic/property-details-buy-residential-11094578/
Ararat,28 Queen St,house,3,264000.0,2017,8,8,private sale,Ballarat Real Estate Pty Ltd,https://www.realestateview.com.au/real-estate/28-queen-street-ararat-vic/property-details-buy-residential-10907774/
